iter	Passed	Remaining
0	1	109
1	2	98
2	2	94
3	3	87
4	4	87
5	6	94
6	7	101
7	8	99
8	9	99
9	11	99
10	12	97
11	13	95
12	14	94
13	15	94
14	16	92
15	17	90
16	18	88
17	19	87
18	20	87
19	21	86
20	22	85
21	23	83
22	24	82
23	25	81
24	26	80
25	27	79
26	28	78
27	30	78
28	31	77
29	32	76
30	33	75
31	34	74
32	35	72
33	36	71
34	37	69
35	38	68
36	39	67
37	40	65
38	41	64
39	42	63
40	43	62
41	43	60
42	45	59
43	46	58
44	47	57
45	48	56
46	49	55
47	49	54
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	55	45
55	57	45
56	58	44
57	59	43
58	60	41
59	61	40
60	62	39
61	63	38
62	64	37
63	65	36
64	66	35
65	67	34
66	68	33
67	69	32
68	70	31
69	71	30
70	72	29
71	73	28
72	74	27
73	75	26
74	76	25
75	77	24
76	78	23
77	79	22
78	80	21
79	80	20
80	82	19
81	83	18
82	84	17
83	85	16
84	86	15
85	87	14
86	88	13
87	89	12
88	90	11
89	91	10
90	92	9
91	93	8
92	94	7
93	95	6
94	96	5
95	97	4
96	98	3
97	99	2
98	100	1
99	101	0
